record_id,category,item,candidate_value,units,basis,production_use,status,confidence,confirmation_required,notes
AR-001,area,Base Area A,1116,square feet,"area diagram; 30x38 less 12x2 notch","Reference reconciliation only",Awaiting input,High,yes,"Do not label as conditioned or verified building area"
AR-002,area,Wood Deck B,324,square feet,"area diagram; 27x12","Reference reconciliation only",Awaiting input,High,yes,"Existing/proposed role must be confirmed"
AR-003,area,Open Frame Porch C,108,square feet,"area diagram; 18x6","Reference reconciliation only",Awaiting input,High,yes,"Porch limits and existing/proposed role must be confirmed"
AR-004,area,Represented category sum,1548,square feet,"sum of A+B+C","Accounting check only",Awaiting input,High,yes,"Not conditioned area or gross building area without authority confirmation"
AR-005,candidate dimension,Living-area expansion band,12 approximately,feet,"conceptual site plan and enlarged partial plan","Dimension-control candidate",Awaiting input,Medium,yes,"NTS source; verify exact endpoints"
AR-006,candidate dimension,Deck expansion band,9 approximately / 10 indicated,feet,"conceptual site plan versus enlarged partial plan","Conflict requiring resolution",Awaiting input,High,yes,"Do not choose silently"
AR-007,candidate dimension,Proposed plan length,30 indicated,feet,"enlarged partial plan","Dimension-control candidate",Awaiting input,Medium,yes,"NTS source; verify exact endpoints and whether dimension covers deck/living work"
AR-008,candidate quantity,Living expansion planning area,360 candidate,square feet,"12x30 conceptual envelope","Early task planning only",Awaiting input,Low,yes,"Not a design or pricing quantity until dimensions are confirmed"
AR-009,candidate quantity,Deck expansion planning area,270-300 candidate,square feet,"9-to-10x30 conceptual envelope","Early task planning only",Awaiting input,Low,yes,"Conflict remains open"
AR-010,space,New kitchen,,room/zone,"conceptual floor-plan label","Create proposed room/area tag and coordinate equipment",Awaiting input,High,yes,"Final name, limits, and area require controlling CAD"
AR-011,space,New living area,,room/zone,"conceptual floor-plan label","Create proposed room/area tag and furniture/circulation review",Awaiting input,High,yes,"Final name, limits, and area require controlling CAD"
AR-012,space,New deck,,exterior area,"conceptual floor-plan label","Create deck outline, notes, stairs, rails, and area tag",Awaiting input,High,yes,"Construction system and final dimensions are not established"
AR-013,space,Existing rooms,,rooms,"not labeled by reviewed area diagram","Inventory from controlling CAD and reviewed evidence",Not started,Unknown,yes,"Do not infer names from furniture or scan appearance alone"
AR-014,space,Drive,,site element,"conceptual site plan label","Reconcile outline and label on site/area plan",Awaiting input,High,yes,"No civil or survey certification"
AR-015,space,Walk,,site element,"conceptual site plan label","Reconcile outline and label on site/area plan",Awaiting input,High,yes,"No civil or survey certification"
