check_id,concern,sheet,item,candidate_evidence,planned_action,output,status,confidence,dependency,acceptance_evidence
CDR-001,authority,all,Confirm controlling input set,"candidate CAD/concept/area image exist","Obtain BDPC written confirmation or replacements","signed source-of-truth register",Awaiting input,High,BDPC,"confirmation identifies exact current CAD, concept, title block, and standards"
CDR-002,source protection,all,Create protected native working set,"confidential originals are immutable","Copy only after kickoff into approved working location","working-set manifest",Blocked,High,all kickoff gates,"hash/stat evidence shows originals unchanged"
CDR-003,orientation,all,Establish project north,"concept pages use different displayed orientations","Normalize view orientation without altering sources","orientation control record",Awaiting input,High,controlling CAD,"project north and every source rotation are recorded"
CDR-004,orientation,proposed,Account for rotated enlarged concept,"enlarged partial plan shows north down-page","Apply documented 180-degree comparison rotation","overlay check",Awaiting input,High,CDR-003,"features align after documented rotation without scaling NTS raster"
CDR-005,units,all,Confirm drawing units,"analytical units remain candidate metres; concept uses feet/inches","Inspect native INSUNITS and dimension basis","unit control record",Blocked,High,licensed runtime,"model and paper units are confirmed and recorded"
CDR-006,title block,all,Load authoritative title block,"not yet confirmed","Source BDPC block and populate controlled fields","title-block xref/block",Awaiting input,High,BDPC,"sheet titles/numbers/revision/issue fields match authorization"
CDR-007,dependencies,all,Audit xrefs/fonts/shapes/object support,"native dependencies unvalidated","Run native dependency inventory","dependency report",Blocked,High,licensed runtime,"no unresolved production-critical dependency"
CDR-008,plot,all,Validate CTB/STB layouts and page setup,"plot fidelity unvalidated","Plot approved check sheets and compare","plot QA record",Blocked,High,licensed runtime,"paper size, viewport scale, lineweights, and clipping pass"
CDR-009,layers,all,Map BDPC layer standards,"standards package awaiting confirmation","Create layer mapping and exception list","layer matrix",Awaiting input,High,BDPC,"all entities use approved layers and properties"
CDR-010,existing plan,existing,Reconcile exterior footprint,"area diagram supplies candidate topology","Compare controlling CAD, photos, scans, and accepted dimensions","closed footprint polyline",Not started,Medium,CDR-001,"dimension closure and area reconciliation recorded"
CDR-011,existing plan,existing,Reconcile base area,"candidate 1,116 square feet","Verify 30x38 less 12x2 topology against controlling CAD","area record",Awaiting input,High,CDR-010,"accepted area basis and boundary are recorded"
CDR-012,existing plan,existing,Reconcile wood deck,"candidate 324 square feet / 27x12","Confirm location and existing/proposed role","deck area polyline",Awaiting input,High,CDR-001,"accepted limits and classification recorded"
CDR-013,existing plan,existing,Reconcile open frame porch,"candidate 108 square feet / 18x6","Confirm location and existing/proposed role","porch area polyline",Awaiting input,High,CDR-001,"accepted limits and classification recorded"
CDR-014,existing plan,existing,Inventory rooms,"reviewed area image does not label rooms","Use controlling CAD and reviewed evidence; leave unknowns explicit","room register",Not started,Unknown,CDR-001,"every enclosed space has confirmed label or open question"
CDR-015,existing plan,existing,Inventory walls and thicknesses,"scan/photo/CAD evidence pending native reconciliation","Trace/reconcile faces and centerlines; record basis","wall geometry",Not started,Unknown,licensed runtime,"wall joins close and thickness bases are documented"
CDR-016,existing plan,existing,Inventory windows,"private photos may provide context but no schedule is confirmed","Count, tag, size when supported; leave unknowns blank","window register",Not started,Unknown,CDR-001,"plan count equals register; unknowns remain flagged"
CDR-017,existing plan,existing,Inventory doors and openings,"concept shows exterior openings without complete schedule","Count, tag, swing, width when supported","door/opening register",Not started,Unknown,CDR-001,"plan count equals register; unknowns remain flagged"
CDR-018,existing plan,existing,Inventory stairs/steps/rails,"exterior context and concept show access elements","Document visible plan geometry and unresolved rise/run","access-element register",Not started,Unknown,CDR-001,"locations verified; unmeasured values remain blank"
CDR-019,existing plan,existing,Inventory fixtures/equipment,"not established by area image","Use controlling CAD and supported evidence only","fixture/equipment register",Not started,Unknown,CDR-001,"symbols and counts reconcile to evidence"
CDR-020,existing plan,existing,Dimension plan,"candidate dimensions are incomplete","Build dimension hierarchy from confirmed controls","dimensioned existing plan",Not started,Unknown,CDR-010,"overall/segment/opening dimensions close without invented values"
CDR-021,existing plan,existing,Tag areas,"A/B/C categories supplied as candidates","Create separate closed boundaries and tags","area-tagged plan",Not started,Medium,CDR-011,"computed values reconcile or discrepancy is logged"
CDR-022,proposed plan,proposed,Resolve living expansion width,"approximately 12 feet shown","Confirm endpoints and exact value","control dimension",Awaiting input,Medium,BDPC,"written/confirmed dimension controls geometry"
CDR-023,proposed plan,proposed,Resolve deck expansion width,"approximately 9 feet versus 10 feet shown","Return conflict to BDPC; do not choose silently","resolved discrepancy",Awaiting input,High,BDPC,"one controlling value and endpoints are confirmed"
