work_package_id,workstream,sheet,task,planned_hours,owner,dependency,handoff,acceptance_evidence
EFT-001,Standard setup,All sheets,Confirm controlling input register and assignment brief,0.75,Project lead / BDPC,Written controlling-input confirmation,Signed input register,"Controlling files, decisions, standards, and open questions are listed"
EFT-002,Standard setup,All sheets,Create protected native working set and record source state,0.75,CAD drafter,All kickoff gates,Working-set manifest,Working copies are isolated and confidential originals remain unchanged
EFT-003,Standard setup,All sheets,"Apply confirmed title block, sheet numbers, and project fields",1.25,CAD drafter,Confirmed title block,Three initialized layouts,Sheet identity and issue fields match the assignment brief
EFT-004,Standard setup,All sheets,"Map layers, text styles, dimension styles, tags, and lineweights",1.0,CAD drafter,Confirmed BDPC standards,Standards map,Required styles exist and exceptions are recorded
EFT-005,Standard setup,All sheets,"Validate units, insertion scale, project north, xrefs, and source-view rotations",0.75,CAD drafter,Licensed runtime and confirmed inputs,Orientation / dependency record,"Units, scale, north, rotations, and xref state are explicit"
EFT-006,Standard setup,All sheets,"Establish layouts, viewports, page setup, and baseline check plot",0.5,CAD drafter,Licensed runtime,Baseline plot record,"Sheet size, viewport scale, and plot path are reproducible"
EFT-007,Existing floor plan,Existing Floor Plan,"Reconcile exterior footprint, wall topology, and closed boundaries",3.0,CAD drafter,Confirmed existing-condition basis,Existing wall base,Boundary is closed and conflicts are logged
EFT-008,Existing floor plan,Existing Floor Plan,"Draft and tag doors, windows, and openings",2.0,CAD drafter,Reviewed evidence and approved blocks,Opening inventory,"Every visible opening is placed, tagged, or marked unresolved"
EFT-009,Existing floor plan,Existing Floor Plan,"Draft rooms, stairs, fixtures, equipment, and observed context",1.5,CAD drafter,Confirmed room names and supported evidence,Existing content pass,Unsupported labels and concealed conditions remain explicit
EFT-010,Existing floor plan,Existing Floor Plan,"Add dimensions, area boundaries, labels, and notes",1.5,CAD drafter,Closed existing geometry,Annotated existing plan,Dimension strings close and area basis is stated
