asset_id,discipline_group,asset_or_block,seen_or_required,source_or_create,required_attributes,planned_sheet,status,acceptance_evidence,notes
AB-001,architectural,BDPC title block,required,source,"sheet size; project fields; revision; issue; logo; sheet numbering",all,Awaiting input,"BDPC confirms authoritative title-block file","Licensed runtime validation required"
AB-002,architectural,existing wall types,required,source/create,"layer; lineweight; wall thickness; material convention",existing/proposed,Awaiting input,"controlling CAD and standards reconcile","Typical wall basis must not replace measured/confirmed conditions"
AB-003,architectural,new wall types,required,source/create,"layer; lineweight; wall thickness; material convention",proposed,Awaiting input,"BDPC confirms proposed graphic standard","No construction certification"
AB-004,architectural,window blocks and tags,seen/required,source/create,"type; nominal size; operation; tag; existing/new status",existing/proposed,Not started,"window count and schedule reconcile to plan","Leave unknown sizes blank pending verification"
AB-005,architectural,door blocks and tags,seen/required,source/create,"type; nominal width; swing; tag; existing/new status",existing/proposed,Not started,"door count and schedule reconcile to plan","Confirm exterior door locations from controlling input"
AB-006,architectural,opening/cased-opening symbols,seen,source/create,"width; head condition if known; existing/new status",existing/proposed,Not started,"openings reconcile to plan and concept","Do not infer structural header design"
AB-007,interiors,kitchen base cabinets,seen,source/create,"module width; depth; existing/new; appliance clearances",proposed,Not started,"cabinet run reconciles to confirmed concept","Concept establishes intent, not shop-drawing detail"
AB-008,interiors,kitchen wall/tall cabinets,seen,source/create,"module width; depth; height if known",proposed,Not started,"cabinet run reconciles to confirmed concept","Leave heights blank pending direction"
AB-009,equipment,range/cooktop block,seen,source/create,"type; nominal width; clearances",proposed,Not started,"equipment location and size confirmed","No MEP design implied"
AB-010,equipment,refrigerator/tall-appliance block,seen/possible,source/create,"type; nominal width/depth; door clearance",proposed,Not started,"equipment type and location confirmed","Do not infer appliance selection"
AB-011,interiors,kitchen island with seating,seen,source/create,"length; width; overhang; seat count; clearances",proposed,Not started,"island and circulation dimensions confirmed","Concept image indicates intent only"
AB-012,plumbing,kitchen sink symbol,seen/possible,source/create,"type; size; orientation",proposed,Not started,"fixture type and location confirmed","No plumbing design implied"
AB-013,interiors,living furniture test-fit,seen,create,"sofa/chair/table extents; circulation envelope",proposed,Not started,"furniture test-fit shows workable circulation","Furniture is planning context, not deliverable unless directed"
AB-014,exterior,deck hatch/board pattern,seen,source/create,"direction; boundary; existing/new graphic",proposed/site,Not started,"pattern and limits match confirmed concept","Do not imply structural framing"
AB-015,exterior,deck stair block/detail,seen,source/create,"run; width; direction; landing; annotation",proposed/site,Not started,"location and geometry confirmed","Code and structural compliance excluded"
AB-016,exterior,deck railing symbol,required,source/create,"limits; posts; opening/gate if directed",proposed/site,Not started,"railing limits coordinated","No code certification"
AB-017,site,drive and walk linework,seen,source/create,"existing/proposed line type; labels",site,Not started,"reconciled with controlling input","No survey/civil certification"
AB-018,site,north arrow,required,source,"project north; sheet north; rotation note",all,Awaiting input,"orientation register clears","Page 3 is rotated relative to Pages 1 and 2"
AB-019,annotation,room name and area tags,required,source/create,"room name; area; existing/new state",existing/proposed,Not started,"room and area registers reconcile","Blank values remain explicit until verified"
AB-020,annotation,dimension styles,required,source,"precision; units; text; arrows; baseline/chain rules",all,Awaiting input,"BDPC standards confirmed and native plot checked","Public OS preserves current dimension rules"
AB-021,annotation,keynotes/general notes,required,source/create,"existing/new/demolition; limitations; sheet notes",all,Awaiting input,"BDPC note authority confirmed","Avoid permit/code representations"
AB-022,annotation,area boundary polylines,required,create,"closed; non-self-intersecting; classified by area type",all,Not started,"computed areas reconcile to accepted controls","Keep deck/porch/base categories separate"
AB-023,site,aerial/raster underlay,seen,private reference only,"clip; rotation; transparency; no publication",site,Awaiting input,"used only in protected working set","Not survey control and contains private location imagery"
AB-024,coordination,xref attachment standard,required,source/create,"relative path; overlay/attach; insertion; scale; rotation",all,Blocked,"xref audit passes in licensed runtime","No private absolute paths"
AB-025,plot,CTB/STB and page setup,required,source,"plot style; paper; scale; viewport; PDF device",all,Blocked,"native plots match approved print reference","Licensed Autodesk runtime required"
