relative_path,category,extension,size_bytes,size_human,modified_utc,hash_type,hash_value,cad_version_code,cad_version_label,pdf_pages,image_width,image_height,zip_entries,zip_uncompressed_bytes,risk_flags,zip_extension_counts,zip_suspicious_entries
.DS_Store,Other,,8196,8.00 KB,2026-07-20T21:35:28.455127+00:00,sha256-full,609d4e0704a2f32e71a1116159685a0ddb268dde2cb5887acfe716c9187ef34e,,,,,,,,,{},
TCADD.dwg,CAD drawing,.dwg,337616,329.70 KB,2026-07-20T15:09:16+00:00,sha256-full,3260224479fa8d470bec157f0f5a8f5b7e010de30f181ccb9e9de6d62967bb5e,AC1032,AutoCAD 2018–2023,,,,,,do_not_commit_publicly,{},
2026_07_17_Grant_St_Floor_plan .png,Image,.png,30072,29.37 KB,2026-07-20T14:57:22+00:00,sha256-full,54e94482ac3887327fabef9c69158e334470008ea0639126032471eb8336996d,,,,785,822,,,do_not_commit_publicly,{},
2026_07_18_965_granst Dunn res Conceptual.pdf,PDF,.pdf,5116619,4.88 MB,2026-07-20T14:57:17+00:00,sha256-full,555420190364169e43e0a400f54a3dfc6fdaa0474fd610309b726bac0da83248,,,5,,,,,do_not_commit_publicly,{},
20260710222718/20260710222718.ini,Other,.ini,902,902.00 B,2026-07-20T15:39:25+00:00,sha256-full,a18dc938d77a64e2dca61124e7ef47de8d87502eaa4474222ed98b46b8113507,,,,,,,,,{},
20260710222718/LIDAR_20260710222718_0.bag,Other,.bag,553374955,527.74 MB,2026-07-20T15:35:25+00:00,sha256-edge-signature,570b8b38d98b4d248d68b8d27a30380dd24f5b1fd8932019ca9f219ef5b5da1e,,,,,,,,,{},
20260710222718/.DS_Store,Other,,6148,6.00 KB,2026-07-20T16:16:30.375150+00:00,sha256-full,7eeeecb6a850d6b39271c316e85d4d0ed6e9a5da285448d7c4d27b4c28a50764,,,,,,,,,{},
20260710222718/trj_imu_freq.txt,Document,.txt,4857413,4.63 MB,2026-07-20T15:39:35+00:00,sha256-full,7780e836cb9e1c8ae354206171774dd6ae327153354697f46f38341b8a5db211,,,,,,,,,{},
20260710222718/recalculate_result.amap,Other,.amap,359980467,343.30 MB,2026-07-20T15:46:33+00:00,sha256-full,fbf750c0350aae6ba70fc6800453240d115b2b20c08721693b1cffe2250a2fe2,,,,,,,,,{},
20260710222718/recalculate_pose.csv,Spreadsheet,.csv,150880,147.34 KB,2026-07-20T15:39:36+00:00,sha256-full,815f809d7c021c2ca0580b10c89c7539f25c2f3a88245d509035d884ebf32137,,,,,,,,,{},
20260710222718/IMAGE_20260710222718_0.bag,Other,.bag,747859744,713.21 MB,2026-07-20T15:39:50+00:00,sha256-edge-signature,32b134f6ad5967b2cf297b970c9aea3f1427de7dce38cb741d6721781c4f02f8,,,,,,,,,{},
20260710222718/recalculate_result.las,Point cloud,.las,719678753,686.34 MB,2026-07-20T15:44:21+00:00,sha256-edge-signature,cf308c6dbbb3163bc032ce1603a2484a1eb012aa55ce82f7d7101189680e4450,,,,,,,,do_not_commit_publicly,{},
20260710222718/recalculate_trj.txt,Document,.txt,144078,140.70 KB,2026-07-20T15:39:36+00:00,sha256-full,0a35e523ba4670e940e6ee06c24227702ad9bfeef7f6237212a0a6a117b92fbd,,,,,,,,,{},
20260710222718/camera_parameters.json,Other,.json,60,60.00 B,2026-07-20T15:34:53+00:00,sha256-full,926b304a8b4ce370968683bc9a7b484be02c692082ab8ce3463f9237b74f44cd,,,,,,,,,{},
20260710222718/recalculate_result.amx,Other,.amx,13768,13.45 KB,2026-07-20T15:46:06+00:00,sha256-full,2cdd247845f66c0e903ee051287e31e8ec90a5b8b57dd2304d75e18111463971,,,,,,,,,{},
20260710222718/thumbnail/LIDAR_20260710222718.png,Image,.png,32517,31.75 KB,2026-07-20T15:39:24+00:00,sha256-full,37fa01a7495d86834ff64a857bf10b17013545fc0f12539d2b16a5ffa9b2b3b5,,,,240,194,,,do_not_commit_publicly,{},
20260710222718/thumbnail/IMAGE_20260710222718.png,Image,.png,113324,110.67 KB,2026-07-20T15:39:23+00:00,sha256-full,4154d82f23645b021e45fed1fa2df8a0d8177cf6ff22a35780c29a1ec27bbdf6,,,,224,168,,,do_not_commit_publicly,{},
20260710222718/calibration/calib.json,Other,.json,6274,6.13 KB,2026-07-20T15:39:22+00:00,sha256-full,f18573cd3cac535f0e66b55f372f0ffccc84102f1220e9d70a77482eefc315c0,,,,,,,,,{},
20260710222125/IMAGE_20260710222125_0.bag,Other,.bag,134503222,128.27 MB,2026-07-20T15:48:59+00:00,sha256-full,24fd15e108b60bb7fa98847993a4e49c4e75f8f0a00d7474675cfd81cfa31e28,,,,,,,,,{},
20260710222125/20260710222125.ini,Other,.ini,922,922.00 B,2026-07-20T15:48:27+00:00,sha256-full,0322d681ec387907305c6ee58d988e903cc7321586cd959ade4063ffacd8d06f,,,,,,,,,{},
20260710222125/trj_imu_freq.txt,Document,.txt,2378219,2.27 MB,2026-07-20T15:48:32+00:00,sha256-full,7211ab5000b6d495ef63b6ccd0d4e4e2f8dae4581fa1b04754b95105321feeeb,,,,,,,,,{},
20260710222125/recalculate_result.amap,Other,.amap,168293671,160.50 MB,2026-07-20T15:51:57+00:00,sha256-full,8235794c7912ff45b3ae8c591f8e50cea092943f7673638d509d11e7bfd85076,,,,,,,,,{},
20260710222125/recalculate_pose.csv,Spreadsheet,.csv,71756,70.07 KB,2026-07-20T15:48:33+00:00,sha256-full,6c602889d67e4d34f919490a646442b639ef55619a731d67747bd03ad2bfaca9,,,,,,,,,{},
20260710222125/recalculate_result.las,Point cloud,.las,336450713,320.86 MB,2026-07-20T15:51:04+00:00,sha256-full,458d54278c5fe8671c6301b5b59296db3ff71d138086ee01e589077f14d8e9e6,,,,,,,,do_not_commit_publicly,{},
20260710222125/LIDAR_20260710222125_0.bag,Other,.bag,256708466,244.82 MB,2026-07-20T15:47:59+00:00,sha256-full,c6af684aa4946795f93dab0801ec7542b2efbda96c4109d58f54922ea37e6d27,,,,,,,,,{},
20260710222125/recalculate_trj.txt,Document,.txt,68855,67.24 KB,2026-07-20T15:48:33+00:00,sha256-full,92fb1c310a8fbdd7f67286768d28612179210aeef990d1936d41c321b92c6115,,,,,,,,,{},
20260710222125/camera_parameters.json,Other,.json,60,60.00 B,2026-07-20T15:47:43+00:00,sha256-full,926b304a8b4ce370968683bc9a7b484be02c692082ab8ce3463f9237b74f44cd,,,,,,,,,{},
20260710222125/recalculate_result.amx,Other,.amx,7152,6.98 KB,2026-07-20T15:51:41+00:00,sha256-full,fee08b46bb509d3572d15e74938f50b0376fc3bbf99adaf1cafdb141a397391a,,,,,,,,,{},
20260710222125/calibration/calib.json,Other,.json,6274,6.13 KB,2026-07-20T15:48:26+00:00,sha256-full,f18573cd3cac535f0e66b55f372f0ffccc84102f1220e9d70a77482eefc315c0,,,,,,,,,{},
20260710222318/.DS_Store,Other,,6148,6.00 KB,2026-07-20T16:16:30.377482+00:00,sha256-full,5910ecf98419b90ffcc10f04e8f59d880415d8bb4dbb0e8ed1767573682246fd,,,,,,,,,{},
20260710222318/20260710222318.ini,Other,.ini,902,902.00 B,2026-07-20T15:52:04+00:00,sha256-full,7c851be023a860e290ebf67b353d28d0c6bb18bd093b3adac4b6c960ceb58f3a,,,,,,,,,{},
20260710222318/IMAGE_20260710222318_0.bag,Other,.bag,16459544,15.70 MB,2026-07-20T15:51:51+00:00,sha256-full,e1c957bd69f38aef217ff28ae3d649e044c1ec23f3ab5088aad135b7b2860642,,,,,,,,,{},
20260710222318/trj_imu_freq.txt,Document,.txt,682041,666.06 KB,2026-07-20T15:52:06+00:00,sha256-full,b0064543054250ca475e22ffceb8ac5a4028cd64fa908886fc0ab6b4b0408bfb,,,,,,,,,{},
20260710222318/recalculate_result.amap,Other,.amap,49063134,46.79 MB,2026-07-20T15:53:20+00:00,sha256-full,9fd2e86a1c86104f2ab05bbbdf7017daf05e7ce5d30e9b3e18d4e41e1c7ba9d2,,,,,,,,,{},
20260710222318/recalculate_pose.csv,Spreadsheet,.csv,20463,19.98 KB,2026-07-20T15:52:05+00:00,sha256-full,ffc45a28ee5b86391cd83bc4c86831ab6780743786086f965d4f00f61255d9f1,,,,,,,,,{},
20260710222318/recalculate_result.las,Point cloud,.las,98085911,93.54 MB,2026-07-20T15:53:04+00:00,sha256-full,86b50d5d4ca72fe6cb4f215e4fa3ce4e228b8524bd23756e2e501c30eb6a90f8,,,,,,,,do_not_commit_publicly,{},
20260710222318/LIDAR_20260710222318_0.bag,Other,.bag,74581334,71.13 MB,2026-07-20T15:52:28+00:00,sha256-full,28d68a3acec00efba5e5a0e4b09687fa465722b72e12edc4235bf1c1541cc42f,,,,,,,,,{},
20260710222318/recalculate_trj.txt,Document,.txt,19750,19.29 KB,2026-07-20T15:52:06+00:00,sha256-full,faf3c57b532c92d4d95ecb482a5a1b3cc1d08360b78675e4877fbf933d96dd35,,,,,,,,,{},
20260710222318/camera_parameters.json,Other,.json,60,60.00 B,2026-07-20T15:51:42+00:00,sha256-full,926b304a8b4ce370968683bc9a7b484be02c692082ab8ce3463f9237b74f44cd,,,,,,,,,{},
20260710222318/recalculate_result.amx,Other,.amx,2776,2.71 KB,2026-07-20T15:53:05+00:00,sha256-full,93db7b443230f38635bb6b045be60aa69466ae6caf1d4044b7954184b20d2c1a,,,,,,,,,{},
20260710222318/thumbnail/IMAGE_20260710222318.png,Image,.png,113324,110.67 KB,2026-07-20T15:52:03+00:00,sha256-full,145646752f35d8167ced62abbf42fb86985559636c255affb4408d088b588485,,,,224,168,,,do_not_commit_publicly,{},
20260710222318/thumbnail/LIDAR_20260710222318.png,Image,.png,37109,36.24 KB,2026-07-20T15:52:04+00:00,sha256-full,9c2653aae61d129d080e3330b7ef5ba643bf6f33fbbbead6a81911a8c0286d27,,,,240,194,,,do_not_commit_publicly,{},
20260710222318/calibration/calib.json,Other,.json,6274,6.13 KB,2026-07-20T15:52:02+00:00,sha256-full,f18573cd3cac535f0e66b55f372f0ffccc84102f1220e9d70a77482eefc315c0,,,,,,,,,{},
20260710223037/LIDAR_20260710223037_0.bag,Other,.bag,854581706,814.99 MB,2026-07-20T15:03:20+00:00,sha256-edge-signature,c8263b70e0486e65c50ae5fc8a4a31b8747eb007eb83cb256b31d25e80b2fe9a,,,,,,,,,{},
20260710223037/.DS_Store,Other,,6148,6.00 KB,2026-07-20T21:29:29.891834+00:00,sha256-full,52d831189c95001c22448fda3bb6536278390e27db948c5bd3f3ae18eb2c4729,,,,,,,,,{},
20260710223037/trj_imu_freq.txt,Document,.txt,7618409,7.27 MB,2026-07-20T15:11:16+00:00,sha256-full,8a59cd8482d2b2f94da4f8366eb335586370a7a506ddac88f36f3669861b2fc6,,,,,,,,,{},
20260710223037/recalculate_result.amap,Other,.amap,547932674,522.55 MB,2026-07-20T15:22:00+00:00,sha256-edge-signature,627994e92cda0c41ce6fc257d10b7631a8db60b12edc2165249499ad0b48c41e,,,,,,,,,{},
20260710223037/recalculate_pose.csv,Spreadsheet,.csv,234406,228.91 KB,2026-07-20T15:11:14+00:00,sha256-full,7498d5cd7b4d7cb0b6b990d93ae2bb46f9962745c948c58cf328f735aba2e63c,,,,,,,,,{},
20260710223037/recalculate_result.las,Point cloud,.las,1095422303,1.02 GB,2026-07-20T15:18:26+00:00,sha256-edge-signature,986657c9f07f0c833f532d3f8dfcc124acfc0d7ebb5f4708b7d7383793aa54d5,,,,,,,,do_not_commit_publicly,{},
20260710223037/IMAGE_20260710223037_0.bag,Other,.bag,1170083538,1.09 GB,2026-07-20T15:11:21+00:00,sha256-edge-signature,eaf58b495d5cfa39f21378ab32215dd96ffcc377f735f601c43db4ca0883de2e,,,,,,,,,{},
20260710223037/20260710223037.ini,Other,.ini,902,902.00 B,2026-07-20T15:11:07+00:00,sha256-full,f47d668de6d972394e0c31a62e963f786d115d21293bfea3b8c8b0ffedd8b8f4,,,,,,,,,{},
20260710223037/recalculate_trj.txt,Document,.txt,223034,217.81 KB,2026-07-20T15:11:15+00:00,sha256-full,aff33bc67e92571a16acb42488ebeef6bd660314c34e04200266d3a63c7384bf,,,,,,,,,{},
20260710223037/camera_parameters.json,Other,.json,60,60.00 B,2026-07-20T14:57:36+00:00,sha256-full,926b304a8b4ce370968683bc9a7b484be02c692082ab8ce3463f9237b74f44cd,,,,,,,,,{},
20260710223037/recalculate_result.amx,Other,.amx,21080,20.59 KB,2026-07-20T15:21:48+00:00,sha256-full,864aa4405ee22bf4a9be79e63f86e196dcb0d76049db3d9226995b01e49aef73,,,,,,,,,{},
20260710223037/thumbnail/LIDAR_20260710223037.png,Image,.png,25675,25.07 KB,2026-07-20T15:11:06+00:00,sha256-full,5c0cd448b2c2a9e16ce04e0104c2709e8df1787e882d4dd7326c2a4dfa81fd8a,,,,240,194,,,do_not_commit_publicly,{},
20260710223037/thumbnail/IMAGE_20260710223037.png,Image,.png,113324,110.67 KB,2026-07-20T15:11:05+00:00,sha256-full,7935ad1abcc1e3781be9fb51f8900fbda2c3f11359990256911640c60779ae51,,,,224,168,,,do_not_commit_publicly,{},
20260710223037/calibration/calib.json,Other,.json,6274,6.13 KB,2026-07-20T15:11:04+00:00,sha256-full,f18573cd3cac535f0e66b55f372f0ffccc84102f1220e9d70a77482eefc315c0,,,,,,,,,{},
20260710223037/shading/livo_result.amap,Other,.amap,220139520,209.94 MB,2026-07-20T15:30:29+00:00,sha256-full,9aee1e8e487ff293114ea9ddef02e90aa7c6717183dca4ad1725415de8b90f62,,,,,,,,,{},
20260710223037/shading/trj.txt,Document,.txt,4219662,4.02 MB,2026-07-20T15:21:56+00:00,sha256-full,a10992839b4d0ed185ac4cf3b48bb509849b725ff47ffef2118ba4fbaf643c9e,,,,,,,,,{},
20260710223037/shading/Colmap/images/1783693963.087036.png,Image,.png,1202899,1.15 MB,2026-07-20T15:25:03+00:00,sha256-full,d667b60915749e68efa8f442edc7090aa9560a1e5814e3a0acc9ccd7900ff204,,,,1000,750,,,multiple_extensions;do_not_commit_publicly,{},
20260710223037/shading/Colmap/images/1783693863.744433.png,Image,.png,1272888,1.21 MB,2026-07-20T15:22:32+00:00,sha256-full,64aa127a727f34f9e0c21339e80d91540c14cb4d5e09b821cd5cf12c018e519e,,,,1000,750,,,multiple_extensions;do_not_commit_publicly,{},
20260710223037/shading/Colmap/images/1783693939.166256.png,Image,.png,1265253,1.21 MB,2026-07-20T15:24:25+00:00,sha256-full,6410415c82765390458c94ccd0f3d07b1649c491a2b7c6ded9a0d0e87c408d7d,,,,1000,750,,,multiple_extensions;do_not_commit_publicly,{},
20260710223037/shading/Colmap/images/1783693974.511889.png,Image,.png,1280653,1.22 MB,2026-07-20T15:25:24+00:00,sha256-full,ba9b88abb012eec4f052bd35f0d43a8df7c06cc3df6e34ace7f855ecb431cebe,,,,1000,750,,,multiple_extensions;do_not_commit_publicly,{},
20260710223037/shading/Colmap/images/1783693863.119590.png,Image,.png,1239380,1.18 MB,2026-07-20T15:22:32+00:00,sha256-full,4a0b4a2cae5df88fed6a7cc57e7fbaea301172f5d3d59fd830114036f665e36b,,,,1000,750,,,multiple_extensions;do_not_commit_publicly,{},
20260710223037/shading/Colmap/images/1783693955.589479.png,Image,.png,1312086,1.25 MB,2026-07-20T15:24:51+00:00,sha256-full,3704cc42202fe4b35ee5696b34a30d6230f8f5b52b8fc2b2bfe65f1f5014099f,,,,1000,750,,,multiple_extensions;do_not_commit_publicly,{},
20260710223037/shading/Colmap/images/1783693980.849118.png,Image,.png,1099528,1.05 MB,2026-07-20T15:25:32+00:00,sha256-full,7fcf16d5167f1484c4f1f4280ba7c8d62203b9ecad6329b776fa13c642dd33fe,,,,1000,750,,,multiple_extensions;do_not_commit_publicly,{},
20260710223037/shading/Colmap/images/1783694069.659481.png,Image,.png,1329223,1.27 MB,2026-07-20T15:28:00+00:00,sha256-full,47a118b8b71700e423dedbd1cb08dabb22228c9257753404e791dd5f2deba145,,,,1000,750,,,multiple_extensions;do_not_commit_publicly,{},
20260710223037/shading/Colmap/images/1783694088.492663.png,Image,.png,1403676,1.34 MB,2026-07-20T15:28:33+00:00,sha256-full,dbf41a03b4e716985110081a207c2df5321224e930d92cb323059b3efede3fcb,,,,1000,750,,,multiple_extensions;do_not_commit_publicly,{},
20260710223037/shading/Colmap/images/1783693875.079981.png,Image,.png,1285458,1.23 MB,2026-07-20T15:22:51+00:00,sha256-full,e5044626bab72bde49bb4ed26cc497dd4affa33bda0fb7c138fe198e2feb967f,,,,1000,750,,,multiple_extensions;do_not_commit_publicly,{},
20260710223037/shading/Colmap/images/1783694075.014877.png,Image,.png,1392605,1.33 MB,2026-07-20T15:28:10+00:00,sha256-full,de6a0fd8c4de42fd57ba925a6f05bfe2a58bc72d6730b32fc386d2d131bc5223,,,,1000,750,,,multiple_extensions;do_not_commit_publicly,{},
20260710223037/shading/Colmap/images/1783693968.799463.png,Image,.png,1281314,1.22 MB,2026-07-20T15:25:12+00:00,sha256-full,4220dbc2fb74a07b2b03e4d9c072e9671cb92e328c3d9d25dc0c7c25eb9243aa,,,,1000,750,,,multiple_extensions;do_not_commit_publicly,{},
20260710223037/shading/Colmap/images/1783694043.239514.png,Image,.png,1277794,1.22 MB,2026-07-20T15:27:19+00:00,sha256-full,5a65881dc018482836760f84113f8ded936604c2102bda1ead4823bc141a98d9,,,,1000,750,,,multiple_extensions;do_not_commit_publicly,{},
20260710223037/shading/Colmap/images/1783693918.101684.png,Image,.png,1496888,1.43 MB,2026-07-20T15:23:55+00:00,sha256-full,77ae44c6018098a4f4f23491cf1c350a74dabf5ffa992561a67cce32f67b0566,,,,1000,750,,,multiple_extensions;do_not_commit_publicly,{},
20260710223037/shading/Colmap/images/1783694055.824696.png,Image,.png,722113,705.19 KB,2026-07-20T15:27:36+00:00,sha256-full,26645214b16646f0b33c4fe4fc0cc1646b2621bad09ff1dc929cd5a9c2e94918,,,,1000,750,,,multiple_extensions;do_not_commit_publicly,{},
20260710223037/shading/Colmap/images/1783693979.063999.png,Image,.png,1247543,1.19 MB,2026-07-20T15:25:30+00:00,sha256-full,b94698aa43a789d55ab56320b7fbf76e50624d7bf177ee0094d6f2b47fe5cc50,,,,1000,750,,,multiple_extensions;do_not_commit_publicly,{},
20260710223037/shading/Colmap/images/1783693968.263923.png,Image,.png,1244150,1.19 MB,2026-07-20T15:25:11+00:00,sha256-full,3d868d6fb2c8c98d54a6124a2acba34efabd28abe79135defce83a3fcd268b91,,,,1000,750,,,multiple_extensions;do_not_commit_publicly,{},
20260710223037/shading/Colmap/images/1783693958.356519.png,Image,.png,1170027,1.12 MB,2026-07-20T15:24:55+00:00,sha256-full,1577d38b640f7087ee08c7ad36b51ff33579864a4269ac5022ce09fbf51364a8,,,,1000,750,,,multiple_extensions;do_not_commit_publicly,{},
20260710223037/shading/Colmap/images/1783693868.832017.png,Image,.png,1064261,1.01 MB,2026-07-20T15:22:42+00:00,sha256-full,c4185a4443aa124f200c9cf441bf1be7bbd091f1bed5956933d837cf1f945471,,,,1000,750,,,multiple_extensions;do_not_commit_publicly,{},
20260710223037/shading/Colmap/images/1783693920.511615.png,Image,.png,1368904,1.31 MB,2026-07-20T15:23:58+00:00,sha256-full,a3d15e243b3fa0671645cbc9284c9d3dc8abc75d52f65145d5ddba77d69cb1fc,,,,1000,750,,,multiple_extensions;do_not_commit_publicly,{},
20260710223037/shading/Colmap/images/1783693904.802445.png,Image,.png,943340,921.23 KB,2026-07-20T15:23:34+00:00,sha256-full,6e26640ba599d8105842b34eb58814f34b84ab510ca34bc76377cfb97ddb321b,,,,1000,750,,,multiple_extensions;do_not_commit_publicly,{},
20260710223037/shading/Colmap/images/1783693977.189587.png,Image,.png,1204730,1.15 MB,2026-07-20T15:25:27+00:00,sha256-full,bba2b5b9f11a6717eb92c11f6bdf9e4fc1ab2da4e32bccaf5d483d86f7f3c13b,,,,1000,750,,,multiple_extensions;do_not_commit_publicly,{},
20260710223037/shading/Colmap/images/1783693866.422086.png,Image,.png,936732,914.78 KB,2026-07-20T15:22:38+00:00,sha256-full,7bc77fadcdf079f3ed99bcd1ebf1c16da58092ea5d8712f0ba4d375facb5b687,,,,1000,750,,,multiple_extensions;do_not_commit_publicly,{},
20260710223037/shading/Colmap/images/1783694009.679055.png,Image,.png,1164818,1.11 MB,2026-07-20T15:26:20+00:00,sha256-full,6afbc09152e72b788b8aa499ec39da91a5373650089b7ff1430367b5fa429cee,,,,1000,750,,,multiple_extensions;do_not_commit_publicly,{},
20260710223037/shading/Colmap/images/1783693915.156318.png,Image,.png,1220697,1.16 MB,2026-07-20T15:23:48+00:00,sha256-full,9b811799686a772fa6938e8fc1a3146397b1920c852a6698bc5e53335d479dbc,,,,1000,750,,,multiple_extensions;do_not_commit_publicly,{},
20260710223037/shading/Colmap/images/1783693866.154318.png,Image,.png,921610,900.01 KB,2026-07-20T15:22:36+00:00,sha256-full,6c38ac3941d1a48208e605457078358548894d243f512ae8434af6a2fe2f747b,,,,1000,750,,,multiple_extensions;do_not_commit_publicly,{},
20260710223037/shading/Colmap/images/1783693993.166531.png,Image,.png,1273765,1.21 MB,2026-07-20T15:25:56+00:00,sha256-full,a70bcd12366f78d471fdb6fa79b4a7120354e32c35fe388633e3dc76062f0a72,,,,1000,750,,,multiple_extensions;do_not_commit_publicly,{},
20260710223037/shading/Colmap/images/1783693942.736549.png,Image,.png,1195100,1.14 MB,2026-07-20T15:24:31+00:00,sha256-full,7abbf059e3e55a8523b3c5637ee5ddfc1b228ef6b8973bc43b0ca3a811e69b59,,,,1000,750,,,multiple_extensions;do_not_commit_publicly,{},
20260710223037/shading/Colmap/images/1783693922.653774.png,Image,.png,1268130,1.21 MB,2026-07-20T15:24:01+00:00,sha256-full,f14d75ed2f8e605d314f33f75ad16a1031c1875c3e78bb82a67d1564c647920b,,,,1000,750,,,multiple_extensions;do_not_commit_publicly,{},
20260710223037/shading/Colmap/images/1783694002.092271.png,Image,.png,1177292,1.12 MB,2026-07-20T15:26:09+00:00,sha256-full,a22241f2e881cb3108ba83e7e7675cf408d7ab1fcb207a1f09f654b4c5456147,,,,1000,750,,,multiple_extensions;do_not_commit_publicly,{},
20260710223037/shading/Colmap/images/1783693912.121492.png,Image,.png,1176064,1.12 MB,2026-07-20T15:23:44+00:00,sha256-full,06ca2959edad528c4d5f7b3f56c1c2ba808b3fa3724101c770978e33a0cf37ef,,,,1000,750,,,multiple_extensions;do_not_commit_publicly,{},
20260710223037/shading/Colmap/images/1783694041.097350.png,Image,.png,1284813,1.23 MB,2026-07-20T15:27:16+00:00,sha256-full,56b674bf4ccb99dd806433cd39458cf670173c3e53662deb7505e1347f4c6a2b,,,,1000,750,,,multiple_extensions;do_not_commit_publicly,{},
